S.NO.,CEMENT,WATER,COURSE AGGREGATE,W/C RATIO,AGE,COMPRESSIVE STRENGTH,FLEXURAL STRENGTH,SPLIT TENSILE STRENGTH
1,500,200,1738,0.4,1,12.64,0.917045272,0.612082504
2,385,186,1729,0.483116883,1,6.27,0.471074688,0.312375068
3,640,201,1524.9,0.3140625,3,29.55,2.095880546,1.370964601
4,468.8,126.6,1868.1,0.270051195,3,29,2.285298291,1.523180368
5,575.5,175.5,1667.3,0.304952215,3,28.8,2.239838184,1.45646269
6,530.7,153.9,1755.2,0.289994347,3,28.6,2.190618239,1.450037853
7,606.5,183.8,1612.9,0.303050289,3,28.3,1.98905301,1.308808844
8,485.7,157.9,1789.9,0.325097797,3,28.1,2.068721593,1.359030608
9,396.6,140.8,1880.3,0.35501765,3,27.42,1.968647906,1.29609463
10,500,200,1738,0.4,3,26.06,1.892572291,1.241538457
11,640,210,1584.9,0.328125,3,25.61,1.953666169,1.304408646
12,501,157,1796.9,0.313373253,3,25.51,1.86188882,1.242841067
13,531.3,155.7,1746.8,0.293054771,3,25.2,1.905060451,1.263724173
14,519,154,1753.9,0.29672447,3,25.12,1.790212377,1.190381582
15,549,162,1690.6,0.295081967,3,25.02,1.942472443,1.286979684
16,487.2,144.7,1819.5,0.297003284,3,24.4,1.849708604,1.236647391
17,480,192,1648.4,0.4,3,24.4,1.787411437,1.172833696
18,480,192,1657,0.4,3,24.39,1.810582592,1.179946934
19,526.9,174.9,1710,0.331941545,3,24.1,1.723657042,1.150501691
20,396.5,159.5,1841,0.402269861,3,23.8,1.82878869,1.198439639
21,519,154,1753.9,0.29672447,3,23.64,1.874885177,1.235056671
22,371.9,143.3,1899.7,0.385318634,3,23.52,1.740909548,1.166360111
23,549,162,1690.6,0.295081967,3,23.35,1.781822108,1.18375731
24,374.5,160.6,1861.3,0.428838451,3,23.14,1.821404442,1.204515763
25,397.1,164.8,1806.2,0.415008814,3,23.08,1.620373656,1.078718433
26,391.3,171.5,1823.2,0.438282648,3,22.95,1.64554798,1.100892102
27,501,157,1797.3,0.313373253,3,22.75,1.811858418,1.195062659
28,386.6,168.1,1835.6,0.434816348,3,22.5,1.676708153,1.117743064
29,414.7,174.8,1785.8,0.421509525,3,21.91,1.724909512,1.152590602
30,351.1,146.3,1891,0.416690402,3,21.78,1.634853011,1.075540663
31,358.4,156.8,1866.8,0.4375,3,21.29,1.652466298,1.086184484
32,351.7,146.1,1918.2,0.415410862,3,21.02,1.612895332,1.05179927
33,426.4,179.9,1757.7,0.421904315,3,20.73,1.541586418,1.015824598
34,332.2,186.7,1803.9,0.562010837,3,19.93,1.562397979,1.035554029
35,336.8,159,1892.7,0.472090261,3,19.52,1.389002242,0.903304035
36,425.6,175.1,1760.5,0.411419173,3,19.42,1.427628699,0.936688471
37,393,192,1726.2,0.488549618,3,19.2,1.443500275,0.962122944
38,393,192,1698,0.488549618,3,19.11,1.515571841,1.001800838
39,390.6,155.6,1804.5,0.398361495,3,18.02,1.433862558,0.946481258
40,336.3,181.7,1858.1,0.540291406,3,18,1.289826872,0.854009142
41,388.4,154.8,1840.1,0.398558187,3,17.57,1.320285123,0.86464662
42,387.7,154.6,1839.5,0.398761929,3,17.37,1.277285899,0.853805252
43,369.7,188.5,1791.9,0.50987287,3,17.22,1.304802551,0.873264394
44,376,214.6,1765.9,0.570744681,3,16.28,1.195134285,0.78419981
45,480,192,1649.8,0.4,3,16.11,1.259183935,0.83198113
46,349,192,1865,0.550143266,3,15.87,1.236030037,0.815133809
47,427.1,172.3,1763.5,0.403418403,3,15.82,1.163301344,0.767182938
48,333,192,1773.8,0.576576577,3,15.62,1.15171696,0.759158575
49,387.7,159.2,1827.2,0.410626773,3,15.61,1.150221485,0.766660114
50,409.4,164,1785.3,0.400586224,3,15.52,1.086948015,0.726148181
51,353.4,174,1841.6,0.492359932,3,15.44,1.130623681,0.756882518
52,347.9,158.1,1889.6,0.454440931,3,15.36,1.159708035,0.774025608
53,343,158.5,1884.9,0.462099125,3,15.34,1.156890891,0.76634832
54,349,192,1853.9,0.550143266,3,15.05,1.086767739,0.724048226
55,316.1,162.1,1901.8,0.512812401,3,15.04,1.157785606,0.761657819
56,349,192,1853,0.550143266,3,14.99,1.161940732,0.777530665
57,425.9,175.5,1760.7,0.412068561,3,14.94,1.106410316,0.729559576
58,385,186,1729,0.483116883,3,14.7,1.082654592,0.704266773
59,308.6,163.8,1906.5,0.530784187,3,14.4,1.031514785,0.682757316
60,331,192,1846,0.580060423,3,14.31,1.094207936,0.717131103
61,508.8,203.5,1596.4,0.399960692,3,14.14,1.041346459,0.690210038
62,345.7,187.4,1823.6,0.542088516,3,13.82,1.004408726,0.665477703
63,348.4,169.6,1841,0.486796785,3,13.62,1.035062434,0.68078647
64,393,192,1721.7,0.488549618,3,13.57,0.983382336,0.647300321
65,312.9,159.3,1920.1,0.509108341,3,13.54,0.973379117,0.639973146
66,331,192,1803,0.580060423,3,13.52,0.950183393,0.618797074
67,331,192,1704,0.580060423,3,13.52,0.988151888,0.645725368
68,440,179,1648.5,0.406818182,3,13.4,1.045429996,0.683899131
69,347.9,195.2,1791.8,0.56108077,3,13.36,1.036628978,0.688216925
70,313,159.4,1918,0.509265176,3,13.33,0.936079156,0.612280153
71,339,197,1749,0.581120944,3,13.22,0.989057061,0.658309773
72,336.4,181.7,1858.2,0.540130797,3,13.18,1.047012678,0.681380251
73,369.7,188.5,1792.5,0.50987287,3,13.12,0.926406878,0.61445019
74,480,192,1645.9,0.4,3,12.79,0.923094837,0.617704864
75,315.5,166.6,1887.8,0.528050713,3,12.55,0.980265929,0.650785879
76,307,193,1780,0.628664495,3,12.54,0.967383082,0.63683034
77,333.7,180.3,1842.6,0.540305664,3,12.47,0.913425437,0.60899945
78,295.2,165.6,1919.8,0.56097561,3,12.45,0.876016514,0.574400276
79,295.2,170.2,1907.3,0.576558266,3,12.18,0.917858007,0.614552128
80,369.7,192.9,1803.7,0.521774412,3,11.98,0.88373688,0.574648397
81,310,192,1842,0.619354839,3,11.85,0.903625669,0.594645108
82,289,192,1808.5,0.664359862,3,11.65,0.843077592,0.558411388
83,319.1,189.3,1841.9,0.593230962,3,11.58,0.817486557,0.532858816
84,333,192,1771.6,0.576576577,3,11.41,0.839558897,0.554496471
85,277,191,1824,0.689530686,3,11.36,0.848175465,0.560409426
86,329.4,176.5,1843.2,0.535822708,3,10.76,0.825292831,0.549537211
87,328.4,197.9,1803.8,0.602618758,3,10.38,0.737201149,0.486489269
88,348.3,195.5,1792.6,0.561297732,3,10.03,0.704144795,0.46320813
89,310,192,1821.6,0.619354839,3,9.87,0.739177122,0.494497822
90,354,206,1744.7,0.581920904,3,9.85,0.742012961,0.486281748
91,417,203.5,1671.7,0.488009592,3,9.73,0.694414546,0.465165784
92,393,192,1716.6,0.488549618,3,9.69,0.734058925,0.477793424
93,508.8,203.5,1593.4,0.399960692,3,9.56,0.72378755,0.479283761
94,315.5,161.9,1900.6,0.513153724,3,9.45,0.750117578,0.488244179
95,254,198,1831,0.779527559,3,9.31,0.740070439,0.486483758
96,331,192,1803.9,0.580060423,3,9.13,0.711440037,0.467672158
97,345.7,191.8,1811.4,0.554816315,3,8.49,0.625506886,0.417781293
98,255,192,1834.8,0.752941176,3,8.2,0.613097327,0.400328899
99,349,192,1853.9,0.550143266,3,8.06,0.572350352,0.380769285
100,373.9,121.8,1844.5,0.32575555,3,7.75,0.6030205,0.396115501
101,335.4,158.3,1887.8,0.471973763,3,7.4,0.566460944,0.378483527
102,349.2,170.2,1848.3,0.487399771,3,7.32,0.550623468,0.36758246
103,289,192,1803.6,0.664359862,3,6.94,0.523843972,0.349817195
104,417,203.5,1668.2,0.488009592,3,6.9,0.493653077,0.324320393
105,333,192,1766.6,0.576576577,3,6.88,0.4870923,0.320056887
106,353.3,203.5,1723.4,0.575997736,3,6.81,0.533346733,0.349838679
107,236,194,1853,0.822033898,3,6.47,0.472767653,0.314205118
108,289,192,1801.7,0.664359862,3,6.28,0.460978923,0.304458057
109,306.5,203.5,1759.2,0.663947798,3,4.9,0.361974484,0.238157593
110,353.3,203.5,1720.3,0.575997736,3,4.83,0.348165667,0.228111856
111,255,192,1831.1,0.752941176,3,4.78,0.354665402,0.230817109
112,255,192,1829,0.752941176,3,4.57,0.322501685,0.212918813
113,306.5,203.5,1758.3,0.663947798,3,3.32,0.263028308,0.172120652
114,270.7,203.5,1787.2,0.75175471,3,2.33,0.176898011,0.117489673
115,393,192,1726.2,0.488549618,7,27.74,2.13946757,1.432212502
116,475,228,1526,0.48,7,26.26,1.910923832,1.242506401
117,375,186,1796,0.496,7,26.06,1.878326388,1.228669728
118,508.8,203.5,1596.4,0.399960692,7,25.89,1.996654969,1.320079999
119,397,185.7,1774.9,0.467758186,7,25.45,1.949175084,1.292724407
120,599,185.7,1605.9,0.310016694,7,25.42,1.939562295,1.286059357
121,526.8,185.7,1666.3,0.352505695,7,24.44,1.75819574,1.152041818
122,440,179,1648.5,0.406818182,7,24.13,1.906875214,1.26921795
123,382.5,185.7,1787.1,0.485490196,7,24.07,1.697866297,1.106033068
124,382,186,1786,0.486910995,7,24,1.769043328,1.179571269
125,382,185,1786,0.484293194,7,24,1.749971968,1.142299338
126,480,192,1649.8,0.4,7,23.52,1.829606278,1.224336211
127,333,192,1773.8,0.576576577,7,23.4,1.763873732,1.173473116
128,385,186,1729,0.483116883,7,23.22,1.704760813,1.118984457
129,551.6,164.9,1712.1,0.298948513,7,22.9,1.666973354,1.094202949
130,570.1,185.7,1630.1,0.325732328,7,21.92,1.718034009,1.121464422
131,483.7,185.7,1702.5,0.38391565,7,21.86,1.700580433,1.125423449
132,526.8,185.7,1666.3,0.352505695,7,21.82,1.591776027,1.063861799
133,480,192,1645.9,0.4,7,21.48,1.647110771,1.091124084
134,339.2,185.7,1823.5,0.547464623,7,21.18,1.564654195,1.023967202
135,339,185,1823,0.545722714,7,21.16,1.585670375,1.036892028
136,339,197,1749,0.581120944,7,20.97,1.61975427,1.078489076
137,393,192,1721.7,0.488549618,7,20.42,1.484811518,0.98091488
138,350,186,1820,0.531428571,7,20.28,1.505152318,0.98741938
139,454.7,185.7,1726.7,0.408401144,7,19.77,1.451186619,0.968656619
140,508.8,203.5,1593.4,0.399960692,7,19.54,1.469498451,0.972609985
141,417,203.5,1671.7,0.488009592,7,19.35,1.428835782,0.929404727
142,296,186,1859,0.628378378,7,18.91,1.46119888,0.956916352
143,350,203,1749,0.58,7,18.13,1.414151156,0.939765578
144,349,192,1853,0.550143266,7,18.13,1.366869082,0.908108929
145,325,184,1846,0.566153846,7,17.54,1.314331799,0.878039989
146,331,192,1846,0.580060423,7,17.44,1.295523959,0.85849421
147,425.8,185.7,1750.9,0.436120244,7,17.24,1.261735826,0.833008163
148,310,192,1842,0.619354839,7,17.24,1.298681986,0.844800654
149,483.7,185.7,1702.5,0.38391565,7,17.2,1.284922436,0.837902233
150,333,192,1771.6,0.576576577,7,17.17,1.278318563,0.851411242
151,393,192,1716.6,0.488549618,7,16.89,1.278753749,0.852013577
152,331,192,1803,0.580060423,7,16.26,1.220980401,0.801660224
153,417,203.5,1668.2,0.488009592,7,15.75,1.24861045,0.83353179
154,397,185.7,1774.9,0.467758186,7,15.69,1.246007408,0.833280773
155,300,184,1870,0.613333333,7,15.58,1.206690906,0.784494521
156,354,206,1744.7,0.581920904,7,15.07,1.148389655,0.758894587
157,353.3,203.5,1723.4,0.575997736,7,15.03,1.056496404,0.701453466
158,310,192,1820,0.619354839,7,14.99,1.086375538,0.716038066
159,295.8,185.7,1860.7,0.627789047,7,14.84,1.052403618,0.692091995
160,295,185,1838,0.627118644,7,14.8,1.071198916,0.697978548
161,331,192,1803.9,0.580060423,7,14.64,1.055732079,0.700944042
162,289,192,1808.5,0.664359862,7,14.6,1.138276441,0.761283103
163,349,192,1853.9,0.550143266,7,14.59,1.130054828,0.742538358
164,381.4,185.7,1888.9,0.486890404,7,14.54,1.121257683,0.743527869
165,281,186,1878,0.661921708,7,14.5,1.042009114,0.688657861
166,275,183,1896,0.665454545,7,14.2,1.07801826,0.701437652
167,296,192,1850,0.648648649,7,14.2,1.012486635,0.660893076
168,252,185,1895,0.734126984,7,13.71,0.974469383,0.647385064
169,333,192,1766.6,0.576576577,7,13.66,1.019252479,0.663885107
170,368,185.7,1799.3,0.504619565,7,13.09,0.962325411,0.629821132
171,250,182,1920,0.728,7,12.73,0.917218165,0.604936086
172,454.7,185.7,1726.7,0.408401144,7,12.37,0.920313656,0.608530657
173,238,186,1908,0.781512605,7,12.05,0.878599966,0.580465604
174,339.2,185.7,1835.5,0.547464623,7,11.96,0.861892044,0.568229046
175,252.5,185.7,1895.9,0.735445545,7,11.48,0.854577762,0.563404997
176,382,186,1895,0.486910995,7,11.47,0.837475461,0.555211511
177,252,186,1895,0.738095238,7,11.47,0.881574223,0.579999976
178,289,192,1803.6,0.664359862,7,11.39,0.883431479,0.580459166
179,225,181,1946,0.804444444,7,11.17,0.85108195,0.56613266
180,306.5,203.5,1759.2,0.663947798,7,10.79,0.861801,0.576769141
181,325.8,185.7,1750.9,0.569981584,7,10.73,0.827937828,0.549282252
182,353.3,203.5,1720.3,0.575997736,7,10.39,0.758231173,0.506223333
183,306.5,203.5,1758.3,0.663947798,7,10.35,0.771366932,0.515344758
184,238.1,185.7,1908.1,0.779924402,7,10.34,0.756778346,0.505225264
185,255,192,1834.8,0.752941176,7,10.22,0.780297742,0.518748616
186,289,192,1801.7,0.664359862,7,10.09,0.748805319,0.494726724
187,236,193,1853,0.81779661,7,9.99,0.770201625,0.507682771
188,397,185.7,1774.9,0.467758186,7,9.62,0.689997692,0.45878669
189,349,192,1865,0.550143266,7,9.01,0.696494057,0.464557585
190,255,192,1831.1,0.752941176,7,8.37,0.603729445,0.395327054
191,310.3,185.7,1847.7,0.59845311,7,8,0.609704119,0.40426177
192,200,180,1970,0.9,7,7.84,0.549059403,0.357604403
193,270.7,203.5,1787.2,0.75175471,7,7.72,0.552552171,0.361961916
194,255,192,1829,0.752941176,7,7.68,0.572492461,0.373411249
195,339.2,185.7,1835.5,0.547464623,7,7.51,0.534498887,0.348091326
196,369.7,188.5,1791.9,0.50987287,14,29.93,2.221249082,1.48082851
197,358.4,156.8,1866.8,0.4375,14,29.75,2.202544985,1.464744196
198,387.7,159.2,1827.2,0.410626773,14,29.59,2.107401437,1.37017547
199,427.1,172.3,1763.5,0.403418403,14,29.55,2.331721585,1.522664938
200,347.9,158.1,1889.6,0.454440931,14,28.68,2.105017977,1.374084531
201,385,186,1729,0.483116883,14,27.92,2.159593533,1.445902051
202,339,197,1749,0.581120944,14,27.04,1.92903764,1.260847916
203,353.4,174,1841.6,0.492359932,14,26.77,1.903977224,1.247354833
204,312.9,159.3,1920.1,0.509108341,14,26.31,2.048779758,1.360385394
205,343,158.5,1884.9,0.462099125,14,26.05,1.954785988,1.294645411
206,332.2,186.7,1803.9,0.562010837,14,25.69,2.028323503,1.356551924
207,376,214.6,1765.9,0.570744681,14,25.62,1.83956634,1.202160129
208,329.4,176.5,1843.2,0.535822708,14,25.48,1.931214957,1.264716129
209,313,159.4,1918,0.509265176,14,25.37,1.933901274,1.29555165
210,295.2,165.6,1919.8,0.56097561,14,24.99,1.754193256,1.160838676
211,345.7,187.4,1823.6,0.542088516,14,24.92,1.755840783,1.154927204
212,345.7,191.8,1811.4,0.554816315,14,24.66,1.879840174,1.250904863
213,319.1,189.3,1841.9,0.593230962,14,24.45,1.747311157,1.144514453
214,369.7,188.5,1792.5,0.50987287,14,24.43,1.890351507,1.262228492
215,295.2,170.2,1907.3,0.576558266,14,24.28,1.926824618,1.255573651
216,335.4,158.3,1887.8,0.471973763,14,23.51,1.678814026,1.121108574
217,315.5,161.9,1900.6,0.513153724,14,22.72,1.681250998,1.125195469
218,350,203,1749,0.58,14,22.53,1.619143793,1.073749315
219,347.9,195.2,1791.8,0.56108077,14,22.32,1.659298157,1.092097563
220,328.4,197.9,1803.8,0.602618758,14,22.14,1.611338167,1.061570233
221,348.4,169.6,1841,0.486796785,14,21.6,1.682730775,1.098176756
222,349.2,170.2,1848.3,0.487399771,14,21.5,1.515558184,0.987704311
223,277,191,1824,0.689530686,14,21.26,1.605698297,1.063140542
224,316.1,162.1,1901.8,0.512812401,14,21.06,1.611986772,1.059512304
225,333.7,180.3,1842.6,0.540305664,14,20.92,1.489291567,0.970136635
226,322,203,1774,0.630434783,14,20.77,1.555381446,1.033358138
227,369.7,192.9,1803.7,0.521774412,14,20.73,1.595542889,1.041250357
228,348.3,195.5,1792.6,0.561297732,14,20.08,1.411725252,0.939330627
229,315.5,166.6,1887.8,0.528050713,14,19.42,1.406908629,0.928697982
230,302,203,1791,0.67218543,14,18.13,1.411465902,0.937424783
231,336.4,181.7,1858.2,0.540130797,14,17.84,1.288376909,0.84319091
232,373.9,121.8,1844.5,0.32575555,14,17.82,1.355639578,0.882939877
233,308.6,163.8,1906.5,0.530784187,14,16.88,1.320520014,0.87418816
234,236,194,1853,0.822033898,14,12.84,0.920613356,0.607788002
235,353.3,203.5,1720.3,0.575997736,28,29.89,2.20371346,1.474033558
236,447,192,1627,0.429530201,28,29.87,2.22091148,1.484922814
237,446.5,191.6,1627.9,0.429115342,28,29.87,2.239816616,1.496666662
238,455.1,190.7,1619.3,0.419028785,28,29.73,2.307529086,1.540396477
239,455,191,1618,0.41978022,28,29.72,2.320875727,1.520285734
240,369.7,188.5,1791.9,0.50987287,28,29.65,2.163359993,1.412697854
241,521,221,1475,0.424184261,28,29.41,2.114418326,1.375843295
242,345.7,187.4,1823.6,0.542088516,28,29.22,2.317473906,1.527474438
243,380,184,1718.7,0.484210526,28,29.16,2.270871896,1.48924571
244,424,172,1697,0.405660377,28,29.07,2.142336614,1.396089991
245,423.8,171.6,1697.4,0.404907975,28,29.07,2.11155194,1.381451196
246,482,194,1588,0.402489627,28,28.99,2.247566258,1.503740174
247,482.3,193.8,1587.3,0.401824591,28,28.99,2.28130865,1.485760321
248,343.3,195.7,1747.8,0.570055345,28,28.94,2.185057578,1.432400485
249,400,247,1554,0.6175,28,28.63,2.223087147,1.474560006
250,400.1,246.9,1554.3,0.617095726,28,28.63,2.008382318,1.328382943
251,315.5,161.9,1900.6,0.513153724,28,28.47,2.20894973,1.468401694
252,349,192,1853.9,0.550143266,28,28.24,2.140449638,1.408843624
253,331,192,1803.9,0.580060423,28,28.02,2.172200074,1.445000884
254,454.7,185.7,1726.7,0.408401144,28,27.94,2.203250707,1.457167084
255,310,192,1820,0.619354839,28,27.92,2.183680646,1.458046185
256,333,192,1766.6,0.576576577,28,27.87,2.215290088,1.449985436
257,310,192,1842,0.619354839,28,27.83,2.13794744,1.414572091
258,348.4,169.6,1841,0.486796785,28,27.77,1.978110735,1.325305202
259,424,175,1688,0.412735849,28,27.68,2.136804559,1.39230186
260,423.5,175.1,1688,0.413459268,28,27.68,2.179309086,1.441078598
261,307,193,1780,0.628664495,28,27.53,1.967270928,1.295612423
262,350,203,1749,0.58,28,27.34,1.94524581,1.268243155
263,455,197,1610,0.432967033,28,27.23,2.13115302,1.411873676
264,345.7,191.8,1811.4,0.554816315,28,27.22,2.078891184,1.385900696
265,430,199,1636,0.462790698,28,26.97,2.11913766,1.390223558
266,323,171,1830,0.529411765,28,26.92,2.058637856,1.343643996
267,322.9,171.2,1830.7,0.530195107,28,26.92,2.069671721,1.376264262
268,397,185.7,1774.9,0.467758186,28,26.91,2.118614799,1.397259537
269,392,200,1692,0.510204082,28,26.86,1.902541363,1.245619494
270,391.3,200,1692,0.51111679,28,26.86,1.891931691,1.248591522
271,300,184,1870,0.613333333,28,26.85,1.90967406,1.270306344
272,316.1,162.1,1901.8,0.512812401,28,26.4,2.104169907,1.392292271
273,411,178,1699,0.433090024,28,26.23,1.907393796,1.270981973
274,411.1,178.5,1699.2,0.434200924,28,26.23,2.020089552,1.338413187
275,308.6,163.8,1906.5,0.530784187,28,26.2,1.869482767,1.221771801
276,386.3,178.1,1723.3,0.461040642,28,26.15,1.852365458,1.232026601
277,386,178,1722,0.461139896,28,26.14,2.034670991,1.346842625
278,277,191,1824,0.689530686,28,25.97,1.924090355,1.267457675
279,368,185.7,1799.3,0.504619565,28,25.75,1.912070613,1.251939977
280,325.8,185.7,1750.9,0.569981584,28,25.73,1.889866655,1.254731481
281,295.2,165.6,1919.8,0.56097561,28,25.72,2.048907704,1.371631062
282,289,192,1808.5,0.664359862,28,25.57,1.952625243,1.27210482
283,411,178,1699,0.433090024,28,25.56,1.885948857,1.227727397
284,411.1,178.5,1698.6,0.434200924,28,25.56,2.031521537,1.341876818
285,295.8,185.7,1860.7,0.627789047,28,25.22,1.970760397,1.285116789
286,296,186,1859,0.628378378,28,25.18,1.813196986,1.186400061
287,295,185,1838,0.627118644,28,25.18,1.783709408,1.173745407
288,322,203,1774,0.630434783,28,25.18,1.950746281,1.288515315
289,313,178,1830,0.568690096,28,25.1,1.852578761,1.23590439
290,312.7,178.1,1829.9,0.569555484,28,25.1,1.999422736,1.330462014
291,333.7,180.3,1842.6,0.540305664,28,24.9,1.786221113,1.182276603
292,319.1,189.3,1841.9,0.593230962,28,24.89,1.846684424,1.219603721
293,315.5,166.6,1887.8,0.528050713,28,24.85,1.832247292,1.22359784
294,496,192,1566,0.387096774,28,24.58,1.883629331,1.249088074
295,347.9,195.2,1791.8,0.56108077,28,24.54,1.831783458,1.215301005
296,275,183,1896,0.665454545,28,24.5,1.884193151,1.252427652
297,348.3,195.5,1792.6,0.561297732,28,24.48,1.913979618,1.2649698
298,513,228,1464,0.444444444,28,24.34,1.912908693,1.243574914
299,306.5,203.5,1758.3,0.663947798,28,24.29,1.761322795,1.172034139
300,289,192,1803.6,0.664359862,28,24.28,1.709958408,1.143583888
301,373.9,121.8,1844.5,0.32575555,28,24.24,1.753855067,1.153304021
302,306.5,203.5,1759.2,0.663947798,28,24.05,1.725815344,1.149585918
303,549,185,1541,0.336976321,28,23.89,1.720273452,1.119197526
304,436,218,1558.1,0.5,28,23.85,1.806593757,1.202262283
305,420,212,1616,0.504761905,28,23.84,1.73679626,1.14842189
306,419.6,211.5,1615.7,0.504051478,28,23.84,1.66909895,1.09439448
307,338,193,1754,0.571005917,28,23.79,1.731749398,1.131956402
308,338.2,193.3,1754,0.571555293,28,23.79,1.750908278,1.164107614
309,319,182,1806,0.570532915,28,23.74,1.880081787,1.255739208
310,318.3,181.9,1806,0.571473453,28,23.74,1.850149413,1.217663477
311,396.5,192.7,1678.5,0.486002522,28,23.7,1.822353937,1.195229652
312,397,193,1678,0.486146096,28,23.69,1.761673344,1.155447424
313,359,183,1740,0.509749304,28,23.52,1.76543568,1.156613199
314,358.3,182.9,1740.8,0.51046609,28,23.52,1.66398766,1.110810607
315,460,213,1552,0.463043478,28,22.93,1.614107361,1.077530783
316,328.4,197.9,1803.8,0.602618758,28,22.84,1.761861265,1.160434746
317,339.2,185.7,1835.5,0.547464623,28,22.63,1.599933285,1.040798606
318,381.4,185.7,1888.9,0.486890404,28,22.49,1.76060498,1.150725955
319,281,185,1878,0.658362989,28,22.44,1.714826323,1.137058391
320,281,186,1878,0.661921708,28,22.44,1.602277119,1.059017076
321,289,192,1801.7,0.664359862,28,22.35,1.761744246,1.157605195
322,354,206,1744.7,0.581920904,28,21.97,1.660466956,1.086672525
323,433,196,1614,0.452655889,28,21.91,1.639488463,1.086110811
324,302,203,1791,0.67218543,28,21.75,1.570478183,1.047175699
325,296,192,1850,0.648648649,28,21.65,1.603442185,1.064538223
326,329.4,176.5,1843.2,0.535822708,28,21.54,1.632403449,1.090458156
327,397,185.7,1774.9,0.467758186,28,21.07,1.547191266,1.020685233
328,250,182,1920,0.728,28,20.87,1.62147401,1.069348596
329,270.7,203.5,1787.2,0.75175471,28,20.59,1.593899325,1.057216347
330,351,202,1698,0.575498575,28,19.99,1.538730954,1.009515429
331,350.4,201.9,1698.3,0.57619863,28,19.99,1.555984998,1.018006784
332,252.5,185.7,1895.9,0.735445545,28,19.77,1.567204364,1.02936819
333,252,185,1895,0.734126984,28,19.69,1.488727673,0.98443337
334,252,185,1895,0.734126984,28,19.69,1.423007044,0.945752695
335,298,178,1830,0.597315436,28,19.01,1.518422918,0.991734468
336,297.4,178.1,1829.9,0.598856759,28,19.01,1.51105135,0.984119024
337,255,192,1834.8,0.752941176,28,18.75,1.497890245,0.995915677
338,236,194,1853,0.822033898,28,18.42,1.446875979,0.946161509
339,338.2,193.3,1753.2,0.571555293,28,18.29,1.395654766,0.925261679
340,338,193,1753,0.571005917,28,18.28,1.399543787,0.933078968
341,339.2,185.7,1835.5,0.547464623,28,18.2,1.419281094,0.948724955
342,315,182,1764,0.577777778,28,18.03,1.391165301,0.909632995
343,315,181.6,1763.9,0.576507937,28,18.03,1.28674008,0.839999798
344,255,192,1831.1,0.752941176,28,17.96,1.403907856,0.921231148
345,284.7,158.1,1848,0.555321391,28,17.96,1.28193207,0.840125043
346,285,158,1848,0.554385965,28,17.95,1.344952103,0.888737809
347,310.3,185.7,1847.7,0.59845311,28,17.6,1.360292885,0.890509257
348,238.1,185.7,1908.1,0.779924402,28,17.58,1.272884322,0.837980075
349,238,186,1908,0.781512605,28,17.54,1.40208607,0.925826368
350,238,185,1907,0.777310924,28,17.54,1.229540146,0.818792483
351,225,181,1946,0.804444444,28,17.34,1.217081345,0.803790501
352,255,192,1829,0.752941176,28,17.28,1.283458983,0.845171461
353,410,220,1591,0.536585366,28,16.5,1.231202197,0.824555129
354,410.1,220.1,1591.2,0.536698366,28,16.5,1.173904358,0.780804097
355,335,167,1775,0.498507463,28,15.57,1.13885918,0.752578378
356,334.8,166.6,1775,0.497610514,28,15.57,1.21327118,0.797385177
357,330.2,181.4,1738.2,0.549364022,28,15.53,1.097288375,0.731495573
358,330,181,1738,0.548484848,28,15.52,1.141701238,0.75228143
359,319,158,1805,0.495297806,28,15.42,1.165767767,0.777805721
360,318.5,158.4,1805.1,0.49733124,28,15.42,1.197333595,0.799545421
361,354,176,1736,0.497175141,28,15.34,1.194200494,0.797979886
362,364,181,1708,0.497252747,28,15.09,1.153172172,0.763151629
363,364.3,181.2,1707.9,0.497392259,28,15.09,1.072856685,0.697609047
364,336,167,1768,0.49702381,28,13.46,0.977894409,0.637288809
365,336,166.7,1768.1,0.496130952,28,13.46,1.030894993,0.689209055
366,301,180,1776,0.598006645,28,13.29,1.060356712,0.70319734
367,300.4,180.2,1775.9,0.599866844,28,13.29,1.04118594,0.688278213
368,279,181,1802,0.64874552,28,13.2,0.990903203,0.659184946
369,278.4,180.8,1802.1,0.649425287,28,13.2,1.020749981,0.672590071
370,298,193,1753,0.647651007,28,12.46,0.9470238,0.617647372
371,297.6,193.3,1753.2,0.64952957,28,12.46,0.957305645,0.629800974
372,200,180,1970,0.9,28,12.25,0.859738753,0.569447724
373,264,184,1816,0.696969697,28,12.18,0.916448654,0.612021358
374,263.5,184.4,1815.8,0.699810247,28,12.18,0.926699115,0.614532745
375,324,202,1701,0.62345679,28,10.54,0.826978802,0.541947131
376,324.3,201.7,1700.5,0.62195498,28,10.54,0.822260736,0.534571194
377,298,193,1754,0.647651007,28,9.74,0.772598122,0.510109268
378,297.6,193.3,1754,0.64952957,28,9.74,0.75712234,0.504459549
379,353,220,1622,0.623229462,28,8.54,0.61662578,0.412680543
380,353.3,219.7,1621.6,0.621851118,28,8.54,0.648965997,0.426273734
